Day,Phase,Condition,Repetition,Dominant_Frequency_Hz,RMS_Amplitude
D2,Rest1,Rest,1,3.26,0.95
D2,Task1,Task,1,3.18,0.86
D2,Rest2,Rest,2,3.01,0.06
D2,Task2,Task,2,4.89,0.84
D2,Rest3,Rest,3,3.7,0.12
D2,Task3,Task,3,3.18,1.15
D2,Rest4,Rest,4,3.04,0.15
