Day,Phase,Condition,Repetition,Dominant_Frequency_Hz,RMS_Amplitude
D3,Rest1,Rest,1,4.38,0.09
D3,Task1,Task,1,3.76,0.99
D3,Rest2,Rest,2,3.58,0.21
D3,Task2,Task,2,3.46,0.72
D3,Rest3,Rest,3,3.01,0.24
D3,Task3,Task,3,4.62,0.96
D3,Rest4,Rest,4,3.01,0.04
