"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.776240820992346E9,"2026-04-15 10:13:40.992 UTC+02:00"
"PAUSE",5.473031698750565E2,1.776241368294063E9,"2026-04-15 10:22:48.294 UTC+02:00"
