"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.665041713E-3,5.064706171E-1,-3.561878192E-1,2.341634452E-1
1.269704173E-2,3.205151260E-2,-2.257709366E-1,-5.861307442E-2
2.272804175E-2,-1.409055596E0,1.685114926E-1,-3.542322180E-1
3.275904164E-2,-6.148768258E-1,4.022106689E-1,-3.350697228E-1
4.279004165E-2,-1.364400995E-1,1.345619738E-2,-3.197026554E-1
5.282204167E-2,-3.214676374E-1,-1.800965810E-1,-1.297239876E-1
6.285304169E-2,-3.428450578E-1,-2.976150906E-1,-2.910439897E-1
7.288404170E-2,-3.993402708E-1,-3.816998059E-1,-3.097100562E-1
8.291604172E-2,-3.484151155E-1,-3.888328242E-1,-3.146354583E-1
9.294704173E-2,-1.524070913E-1,-2.400679636E-1,-2.898686993E-1
1.029780417E-1,2.029551011E-1,2.287021458E-2,-2.664701888E-1
1.130090418E-1,2.813159770E-1,1.405237949E-1,-2.465355688E-1
1.230410417E-1,-1.142195106E-2,1.263922441E-1,-1.811692527E-1
1.330720417E-1,-5.606953561E-2,-1.380995393E-2,-1.760897765E-1
1.431030417E-1,2.376191497E-2,-2.345230490E-1,-1.371481973E-1
1.531350417E-1,-9.091250896E-3,-3.514632690E-1,-5.190047085E-2
1.631660417E-1,-5.093392611E-2,-2.841080225E-1,-3.941432655E-2
1.731970417E-1,-8.312401772E-2,-1.349934983E-1,-2.369174838E-2
1.832290418E-1,-4.320566118E-2,-1.275511622E-2,3.516895562E-2
1.932600416E-1,9.212872982E-2,3.275376320E-2,8.077753007E-2
2.032910417E-1,2.092893898E-2,1.382691085E-2,1.135406488E-1
2.133220417E-1,-5.678815842E-2,6.853989244E-2,8.640284389E-2
2.233540417E-1,1.395677751E-1,8.829061747E-2,1.076051402E-1
2.333850417E-1,3.384684169E-1,4.136905074E-3,1.229534966E-1
2.434160417E-1,2.886010230E-1,-1.379802561E-1,1.729238015E-1
2.534480417E-1,2.264006817E-1,-2.122118282E-1,2.000575134E-1
2.634790418E-1,2.891301960E-1,-1.679858279E-1,1.679726717E-1
2.735100416E-1,3.504633951E-1,-1.015158498E-1,1.449673864E-1
2.835410417E-1,2.333769947E-1,-1.248439014E-2,1.046651602E-1
2.935730417E-1,1.164040303E-1,2.688900590E-2,6.693366230E-2
3.036040417E-1,7.939173996E-2,1.653007865E-2,9.548210800E-3
3.136350417E-1,1.321961904E-1,8.740534902E-2,2.531844378E-3
3.236670417E-1,1.603446865E-1,1.011580002E-1,-3.414627761E-2
3.336980417E-1,2.301060623E-1,5.112454534E-2,-4.113516212E-2
3.437290417E-1,2.509449542E-1,1.141715634E-1,-9.561776340E-2
3.537610417E-1,1.880008471E-1,9.094817698E-2,-7.829655647E-2
3.637929166E-1,1.085330933E-1,7.078639269E-3,-8.929253787E-2
3.738239167E-1,-1.349186540E-2,-3.424187958E-2,-2.562717676E-2
3.838549167E-1,-1.050732958E-1,-3.269178271E-3,-3.411411792E-2
3.938869167E-1,-1.139949775E-1,2.254510939E-2,-3.422960043E-2
4.039179167E-1,-1.079588968E-1,1.273523569E-2,-3.858753026E-2
4.139489167E-1,-1.286972165E-1,-4.859036207E-4,-5.944133252E-2
4.239809167E-1,-1.596552998E-1,-5.794766128E-2,-6.557301521E-2
4.340119167E-1,-8.289714575E-2,-1.096130741E-1,-3.662052691E-2
4.440429166E-1,-4.365121901E-2,-1.012819612E-1,-4.308228493E-2
4.540749167E-1,-5.882182002E-2,-8.090032160E-2,-5.058250844E-2
4.641059167E-1,-1.526181757E-2,-5.610169530E-2,-7.280017376E-2
4.741369167E-1,5.284187257E-2,-6.787155569E-2,-1.608949095E-2
4.841679167E-1,1.606920111E-1,-1.016772330E-1,3.829604656E-2
4.941999167E-1,1.932452148E-1,-7.313171089E-2,4.375822306E-2
5.042309167E-1,1.260782486E-1,-5.048485994E-2,2.137858987E-2
5.142619167E-1,7.152372658E-2,-4.898563385E-2,8.452442586E-3
