"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.566749929E-3,-7.721831529E-1,-6.546308756E-2,-5.907360113E-1
1.259874995E-2,5.356056847E-1,-1.851935989E-1,-3.520427281E-1
2.263074997E-2,4.364490402E-1,-6.788149595E-2,-1.798445660E-1
3.266274999E-2,-1.393118133E-1,-7.050572634E-2,-1.278768522E-1
4.269375000E-2,-1.491849831E-1,-9.886589170E-2,-2.370075309E-1
5.272575002E-2,-2.668619522E-1,-1.052112901E-1,-1.775495338E-1
6.275775004E-2,-1.556908876E-1,-8.393327236E-2,-8.995999753E-2
7.278974995E-2,-1.635511534E-1,-8.993836284E-2,-4.805475712E-2
8.282174997E-2,-1.834680855E-1,-1.453050631E-1,-8.132892251E-2
9.285374999E-2,-2.312597179E-1,-6.193312347E-2,-4.687478900E-2
1.028847500E-1,-2.315368760E-1,-2.829876959E-2,4.882834375E-2
1.129167500E-1,-1.939734855E-1,-5.635429502E-2,5.864231050E-2
1.229487500E-1,-1.647610885E-1,-3.256022036E-2,7.074780107E-2
1.329807499E-1,-1.655456387E-1,-4.421781421E-2,6.817970395E-2
1.430127500E-1,-1.694299440E-1,-7.885788918E-2,5.209576786E-2
1.530437500E-1,-1.554441351E-1,-1.232651532E-1,5.654959202E-2
1.630757500E-1,-9.239726320E-2,-1.469896460E-1,6.353701472E-2
1.731077500E-1,-4.171359792E-2,-9.919801354E-2,3.959675968E-2
1.831397500E-1,1.421618924E-2,-2.760353565E-2,2.328887522E-2
1.931717499E-1,2.770805463E-2,-8.038050413E-2,4.969080806E-2
2.032027500E-1,-2.058921576E-2,-8.525591254E-2,1.582139611E-2
2.132347500E-1,-1.133071987E-1,1.556002557E-2,-2.131427050E-2
2.232667500E-1,-6.618419543E-2,1.024742085E-1,-3.127324820E-2
2.332987500E-1,1.130705327E-3,3.681757808E-2,-4.405233800E-2
2.433307500E-1,-2.956059873E-3,-5.314885139E-2,-7.748847127E-2
2.533617500E-1,-1.954826519E-2,-6.839722037E-2,-7.896313906E-2
2.633937499E-1,-2.102132499E-2,-2.282811463E-2,-2.978688598E-2
2.734257500E-1,5.154759139E-3,-1.781646609E-2,-3.432900310E-3
2.834577500E-1,4.751798272E-2,-2.017347872E-2,-7.878538370E-3
2.934897500E-1,6.579579413E-2,-6.376914918E-2,-1.382106364E-2
3.035217500E-1,-1.456863016E-2,-1.210128057E-1,4.742091894E-4
3.135527500E-1,-1.078548163E-1,-1.186242181E-1,3.608082891E-2
3.235847499E-1,-1.339293051E-1,-1.451863647E-2,3.529613256E-2
3.336167500E-1,-7.687846050E-2,2.788010895E-2,3.007749259E-2
3.436487500E-1,-1.323751152E-2,-5.899255872E-3,1.275219262E-2
3.536807500E-1,-2.892193660E-2,-6.900182247E-2,3.944531679E-3
3.637117500E-1,-7.209280685E-2,-1.451062578E-1,-2.514302731E-3
3.737437500E-1,-7.254538134E-2,-1.270254976E-1,8.749773502E-3
3.837757499E-1,-2.445174024E-2,-4.002477586E-2,1.015310526E-2
3.938077500E-1,1.631738618E-2,8.843328953E-3,-2.306609631E-2
4.038397500E-1,-7.718324661E-5,1.693996847E-2,-3.897344649E-2
4.138717500E-1,-3.164366931E-3,-2.000917196E-2,-5.584675670E-3
4.239027500E-1,-4.955778390E-2,-4.808165431E-3,2.736321509E-2
4.339347500E-1,-9.906235814E-2,-2.024013698E-2,8.013024330E-3
4.439667499E-1,-1.135502967E-1,-5.583330810E-2,-2.763569534E-2
4.539987500E-1,-8.853108421E-2,-6.489824653E-2,-1.216805577E-3
4.640307500E-1,-5.807103753E-2,-5.434460700E-2,-2.658085763E-2
4.740617500E-1,-6.587736279E-2,-5.314768195E-2,-3.107093453E-2
4.840937500E-1,-5.576358005E-2,-4.613803983E-2,-1.919056177E-3
4.941257500E-1,-7.764839262E-2,-3.817764044E-2,-1.394677877E-2
5.041577499E-1,-8.884230226E-2,-9.891734719E-3,-2.103769720E-2
5.141897500E-1,-6.507790223E-2,-6.700909138E-3,-6.583380103E-3
5.242207500E-1,-1.860291660E-2,-9.391622365E-2,1.663532853E-3
5.342527500E-1,6.859514862E-3,-1.693078834E-1,2.061962128E-2
5.442847500E-1,-2.385678604E-2,-7.836789250E-2,-8.590729237E-3
5.543167500E-1,-7.317278758E-2,3.837527633E-2,-2.564004064E-3
5.643487499E-1,-8.454532966E-2,-2.012670100E-2,1.425317287E-2
5.743807500E-1,-7.066535532E-2,-7.149624467E-2,-1.609738469E-2
5.844117500E-1,-3.756397516E-2,-8.510563910E-2,-3.464007497E-2
5.944437500E-1,-6.831302047E-3,-3.644627988E-2,-8.885428905E-3
6.044757500E-1,-1.312407553E-2,-5.099356771E-2,1.057761312E-3
6.145077500E-1,-2.178336337E-2,-7.925608456E-2,-1.177629232E-3
6.245397499E-1,-4.396959990E-2,-4.837109149E-2,-5.220978856E-3
6.345717499E-1,-7.536870942E-2,-4.750628829E-2,-8.836312294E-3
6.446027500E-1,-1.165823704E-1,-6.627760470E-2,-3.295198381E-2
6.546347500E-1,-1.016677313E-1,-3.836592078E-2,-2.503309965E-2
6.646667500E-1,-1.052640612E-1,-9.179543853E-3,-2.787601590E-2
6.746987500E-1,-1.130526987E-1,-5.769681573E-2,6.634835601E-3
6.847307500E-1,-1.300400296E-1,-7.875965595E-2,2.487990260E-2
6.947627499E-1,-1.155143765E-1,-4.874765217E-2,2.233051658E-3
7.047937500E-1,-2.117876127E-1,-6.735817015E-2,-3.844368875E-2
7.148257500E-1,-2.632694229E-1,-1.247725654E-1,-3.945467234E-2
7.248577500E-1,-2.131098144E-1,-1.114233720E-1,-5.715068579E-3
7.348897500E-1,-8.757462591E-2,-5.961821079E-2,3.660473943E-2
7.449217500E-1,2.396992967E-2,-6.910648763E-2,3.655913115E-2
7.549527499E-1,9.498743355E-2,-3.388461471E-3,3.171354353E-2
7.649847500E-1,1.372154403E-1,1.356144726E-2,2.842097640E-2
7.750167500E-1,1.233379510E-1,-2.159376740E-3,4.745249391E-2
7.850487500E-1,8.445732906E-2,-3.258419394E-2,5.607245922E-2
7.950807500E-1,5.363417029E-2,-2.866012752E-2,5.345173717E-2
8.051127500E-1,8.024280220E-3,-2.450743496E-2,3.618432462E-2
8.151437499E-1,-2.546272382E-2,-2.745560110E-2,1.347724736E-2
8.251757500E-1,-4.903767407E-2,-4.011599243E-2,-6.528416276E-3
8.352077500E-1,-1.105212928E-1,-3.465995550E-2,-2.110084713E-2
8.452397500E-1,-1.388338034E-1,-4.235723019E-2,-1.611141801E-2
8.552717500E-1,-8.209958553E-2,-1.955601275E-2,8.666158319E-3
8.653037500E-1,-4.529399425E-2,-3.232750118E-2,4.153862000E-2
8.753347499E-1,-2.307311296E-2,-5.433700562E-2,1.653007865E-2
8.853667499E-1,-1.195954406E-1,-2.167814273E-1,-2.302048802E-2
8.953987500E-1,-6.471771374E-2,-9.318005919E-2,-6.290434599E-3
9.054301666E-1,4.978553295E-2,1.245246434E-1,3.279761732E-2
9.154621667E-1,-8.446376100E-2,-1.365851104E-2,-4.321794033E-2
9.254931667E-1,-9.516372710E-2,-1.160426724E-1,-2.657208681E-2
9.355251667E-1,-4.096179217E-2,-6.156708777E-2,3.805367947E-3
9.455571667E-1,-4.879296809E-2,-2.030737996E-2,1.262530804E-2
9.555891666E-1,-9.022633821E-2,-3.134575367E-2,-1.065947413E-2
9.656211666E-1,-6.604283899E-2,-4.624913692E-2,-4.119948149E-3
9.756531666E-1,1.367795303E-2,-3.634687722E-2,2.218550563E-2
9.856841667E-1,2.879753709E-5,-4.286184490E-2,1.453033090E-2
9.957161667E-1,-7.874737680E-4,-6.889540315E-2,1.191019356E-2
1.005748167E0,-7.063144147E-3,-7.270603359E-2,1.362167358E-2
1.015780167E0,-3.131359398E-2,-5.165371835E-2,-5.599878430E-3
1.025812167E0,-6.726300672E-2,-3.158022702E-2,-2.473372221E-2
1.035844167E0,-5.013738915E-2,-4.989721477E-2,1.789949656E-2
1.045875167E0,-4.155747727E-2,-5.118652582E-2,2.441855729E-2
1.055907167E0,-5.004164100E-2,-4.650466025E-2,2.593824863E-3
1.065939167E0,-6.654496863E-2,-3.496576488E-2,-1.597108483E-2
1.075971167E0,-8.277947053E-2,-4.310391963E-2,-1.398010790E-2
1.086003167E0,-6.877685085E-2,-4.116907597E-2,-2.028983831E-4
1.096034167E0,-6.526398987E-2,-4.179531276E-2,-1.538987160E-2
1.106066167E0,-8.784213603E-2,-3.343028605E-2,-2.252172053E-2
1.116098167E0,-5.783159405E-2,-2.874783576E-2,-1.370236516E-2
1.126130167E0,-1.629048899E-2,-4.679526687E-2,-7.427718043E-3
1.136162167E0,2.911474854E-3,-8.346081734E-2,2.005127192E-2
1.146194167E0,-1.681293771E-2,-9.373554468E-2,2.151658416E-2
1.156225167E0,-1.084863156E-2,-7.091210783E-2,2.281349659E-2
1.166257167E0,-3.470366344E-2,-5.858442307E-2,-4.006512165E-3
1.176289167E0,-6.517686635E-2,-3.493477464E-2,-2.295032144E-3
1.186321167E0,-7.465374112E-2,-2.431506157E-2,-9.232168794E-3
1.196353167E0,-5.770544037E-2,-4.679526687E-3,-9.904013872E-3
1.206385167E0,-2.825169951E-2,-1.640787184E-2,8.244574070E-3
1.216416167E0,-4.774251580E-3,-3.079553068E-2,1.978580832E-2
1.226448167E0,-2.263486415E-2,-4.694670975E-2,7.203769684E-4
1.236480167E0,-2.178117067E-2,-3.059087813E-2,9.857820868E-3
1.246512167E0,-5.054479390E-2,-4.619358838E-2,2.432441711E-3
1.256544167E0,-7.477112398E-2,-5.735358417E-2,-4.284254909E-3
1.266575167E0,-8.895705387E-2,-4.837869287E-2,-3.001843572E-2
1.276607167E0,-6.390758201E-2,-3.210121393E-2,-2.170194089E-2
1.286639167E0,-8.307183132E-2,-4.461834848E-2,4.112931490E-3
